product_key,product_id,name,brand,model,category,subcategory,specifications
1,httpscellphonescomvndien-thoai-oppo-find-x9html,OPPO Find X9 12GB 256GB,Oppo,,phone,,
2,httpscellphonescomvndien-thoai-honor-magic-v5html,HONOR Magic V5,Honor,,phone,,
3,httpscellphonescomvndien-thoai-tecno-spark-40-pro-plushtml,TECNO Spark 40 Pro+ 8GB 256GB (Chỉ có tại CellphoneS),Tecno,,phone,,
4,httpscellphonescomvndien-thoai-oppo-a6-prohtml,OPPO A6 Pro 8GB 256GB,Oppo,,phone,,
5,httpscellphonescomvndien-thoai-xiaomi-redmi-15chtml,Xiaomi Redmi 15C 4GB 128GB NFC,Xiaomi,,phone,,
6,httpscellphonescomvndien-thoai-samsung-galaxy-a17-5ghtml,Samsung Galaxy A17 5G 8GB 128GB,Samsung,,phone,,
7,httpscellphonescomvnmobiledien-thoai-gaminghtml,Không tìm thấy,,,phone,,
8,httpscellphonescomvnmobiledien-thoai-pin-trauhtml,Không tìm thấy,,,phone,,
9,httpscellphonescomvnbo-locdien-thoai-5g,Không tìm thấy,,,phone,,
10,httpscellphonescomvnmobiledien-thoai-chup-anh-quay-phimhtml,Không tìm thấy,,,phone,,
11,httpscellphonescomvnbo-locdien-thoai-man-hinh-gap-moi-nhat,Không tìm thấy,,,phone,,
12,httpscellphonescomvnmobiledien-thoai-pho-thonghtml,Không tìm thấy,,,phone,,
13,httpscellphonescomvndien-thoai-nothing-phone-2a-plushtml,Nothing Phone 2A Plus 5G 12GB 256GB - Chỉ có tại CellphoneS,Nothing,,phone,,
14,httpscellphonescomvndien-thoai-xiaomi-redmi-note-13-pro-5g-8gb-256gbhtml,Xiaomi Redmi Note 13 Pro 5G 8GB 256GB,Xiaomi,,phone,,
15,httpscellphonescomvndien-thoai-tecno-camon-30shtml,TECNO CAMON 30S 8GB 256GB,Tecno,,phone,,
16,httpscellphonescomvndien-thoai-tecno-spark-30-pro-8gb-256gbhtml,TECNO SPARK 30 Pro 8GB 256GB Transformer - Chỉ có tại CellphoneS,Tecno,,phone,,
17,httpscellphonescomvndien-thoai-honor-x9c-5ghtml,HONOR X9c 5G 12GB 256GB,Honor,,phone,,
18,httpscellphonescomvndien-thoai-xiaomi-15-12gb-512gbhtml,Xiaomi 15 5G 12GB 512GB,Xiaomi,,phone,,
19,httpscellphonescomvndien-thoai-samsung-galaxy-a06-5ghtml,Samsung Galaxy A06 5G 4GB 128GB,Samsung,,phone,,
20,httpscellphonescomvndien-thoai-xiaomi-redmi-note-14-pro-plushtml,Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB,Xiaomi,,phone,,
21,httpscellphonescomvndien-thoai-xiaomi-poco-x7-5ghtml,Xiaomi POCO X7 5G 12GB 512GB,Xiaomi,,phone,,
22,httpscellphonescomvndien-thoai-tecno-pova-7-256gbhtml,Tecno Pova 7 8GB 256GB,Tecno,,phone,,
23,httpscellphonescomvndien-thoai-tecno-pova-7html,Tecno Pova 7 8GB 128GB,Tecno,,phone,,
24,httpscellphonescomvndien-thoai-samsung-galaxy-a26html,Samsung Galaxy A26 5G 8GB 128GB,Samsung,,phone,,
25,httpscellphonescomvndien-thoai-poco-x7-pro-5ghtml,Xiaomi POCO X7 Pro 5G 12GB 256GB - Chỉ có tại CellphoneS,Xiaomi POCO,,phone,,
26,httpscellphonescomvndien-thoai-samsung-galaxy-a07html,Samsung Galaxy A07 4GB 128GB,Samsung,,phone,,
27,httpscellphonescomvndien-thoai-samsung-galaxy-a56html,Samsung Galaxy A56 5G 8GB 128GB,Samsung,,phone,,
28,httpscellphonescomvndien-thoai-samsung-galaxy-a17html,Samsung Galaxy A17 8GB 128GB,Samsung,,phone,,
29,httpscellphonescomvndien-thoai-samsung-galaxy-s25-ultrahtml,Samsung Galaxy S25 Ultra 12GB 256GB,Samsung,,phone,,
30,httpscellphonescomvndien-thoai-xiaomi-15t-pro-5ghtml,Xiaomi 15T Pro 5G 12GB 512GB,Xiaomi,,phone,,
31,httpscellphonescomvndien-thoai-xiaomi-15t-5ghtml,Xiaomi 15T 5G 12GB 512GB,Xiaomi,,phone,,
