URL,Nguồn,Tên sản phẩm,Giá,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình,Tính năng màn hình,Tần số quét,Kiểu màn hình,Camera sau,Quay video,Tính năng camera,Camera trước,Chipset,GPU,Công nghệ NFC,Hỗ trợ mạng,GPS,Dung lượng RAM,Bộ nhớ trong,Pin,Công nghệ sạc,Cổng sạc,Hệ điều hành,Kích thước,Trọng lượng,"Chỉ số kháng nước, bụi",Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thẻ SIM,Loại CPU,sale_price_vnd,brand_inferred,product_id,source_id,category,sale_price_usd
https://cellphones.com.vn/dien-thoai-oppo-find-x9.html,CellphoneS,OPPO Find X9 12GB 256GB,Liên hệ để báo giá,6.59 inches,OLED,1256 x 2760 pixels,Tần số quét: 120Hz Độ sáng tối đa: 3600 nits Màu sắc hiển thị: 1 tỷ màu,120Hz,Đục lỗ (Nốt ruồi),50MP OIS (Chính) + 50MP OIS (Chân dung Tele) + 50MP (Góc rộng),4K,"Camera 200MP tele zoom quang 3x, Cảm biến chính 50MP, Góc siêu rộng, Hỗ trợ AI chụp đêm, chân dung và chống rung OIS/EIS",50MP,MediaTek Dimensity 9500,Mali-G1 Ultra MC12,Có,5G,"GPS, GLONASS, Galileo, Beidou",12 GB,256 GB,7025mAh,Sạc nhanh có dây 80W Sạc không dây 50W,USB Type-C,"ColorOS 16, nền tảng Android 16",74.3 × 157.4 × 7.99 mm,<210g,IP68/69,Loa kép,Cảm biến vân tay dưới màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi-Fi 6E (802.11 a/b/g/n/ac/ax),5.3,,,,Oppo,httpscellphonescomvndien-thoai-oppo-find-x9html,cellphones,phone,
https://cellphones.com.vn/dien-thoai-honor-magic-v5.html,CellphoneS,HONOR Magic V5,44.990.000đ,6.43 inches,OLED,,"Màn hình trong: 2352 x 2172 pixel Màn hình ngoài: 2376 x 1060 pixel 1,07 tỷ màu, Màn hình chăm sóc mắt cận thị AI, tần số 4320Hz PWM giảm nháy sáng, Điều chỉnh độ sáng động, Màn hình đêm theo nhịp sinh học, Màn hình tông màu tự nhiên",,,"Camera góc siêu rộng 50MP (khẩu độ f/2.0) Camera góc rộng 50MP (khẩu độ f/1.6, OIS) Camera tele 64MP (khẩu độ f/2.5, OIS)",,,Màn hình trong: Camera góc rộng 20MP (f/2.2) Màn hình ngoài: Camera góc rộng 20MP (f/2.2),Qualcomm Snapdragon 8 Elite,,,,,,,5820 mAh,,,MagicOS 9.0.1 (Dựa trên Android 15),,,,,,,,,,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,"Tám nhân (2×Prime 4,32 GHz+6×Performance 3,53 GHz)",44990000.0,Honor,httpscellphonescomvndien-thoai-honor-magic-v5html,cellphones,phone,1799.6
https://cellphones.com.vn/dien-thoai-tecno-spark-40-pro-plus.html,CellphoneS,TECNO Spark 40 Pro+ 8GB 256GB (Chỉ có tại CellphoneS),5.190.000đ,6.78 inches,AMOLED,,1224 x 2720 pixels 6.78'' 144Hz & 1.5K 3D AMOLED Display,,,50 MP,,,13 MP,MediaTek Helio G200,,,,,8 GB,256 GB,"5200mAh, 45W",,,Android 15,,,,,,,,,,2 SIM (Nano-SIM),,5190000.0,Tecno,httpscellphonescomvndien-thoai-tecno-spark-40-pro-plushtml,cellphones,phone,207.6
https://cellphones.com.vn/dien-thoai-oppo-a6-pro.html,CellphoneS,OPPO A6 Pro 8GB 256GB,7.990.000đ,6.57 inches,AMOLED,1080 x 2372 pixels (FullHD+),"1 tỷ màu, Độ sáng tối đa 1400 nits",,,"50MP (Chính, f/1.8) + 2MP (Mono, f/2.4), có đèn flash",,,"16MP, f/2.4","MediaTek Helio G100, tối đa 2.2GHz",,Có,,,8 GB,256 GB,7000mAh,,,ColorOS 15 (Android 15),,,,,,,,,,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),"8 nhân, tối đa 2.2GHz",7990000.0,Oppo,httpscellphonescomvndien-thoai-oppo-a6-prohtml,cellphones,phone,319.6
https://cellphones.com.vn/dien-thoai-xiaomi-redmi-15c.html,CellphoneS,Xiaomi Redmi 15C 4GB 128GB NFC,3.490.000đ,6.9 inches,LCD,1600 x 720 pixels (HD+),"Độ sáng 660 nits 810 nits (HBM) Tỉ lệ tương phản 1200:1 Cảm ứng 240Hz Đạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh học Hỗ trợ DC Dimming giảm nhấp nháy",,,"50MP, Ống kính -5P, f/1.8",,,8MP f/2.0,MediaTek Helio G81-Ultra,,Có,,,4 GB,128 GB,6000mAh,,,Xiaomi HyperOS 2,,,,,,,,,,2 SIM (Nano-SIM),"Octa-core (Cortex-A75 + Cortex-A55), tốc độ tối đa 2.0GHz",3490000.0,Xiaomi,httpscellphonescomvndien-thoai-xiaomi-redmi-15chtml,cellphones,phone,139.6
https://cellphones.com.vn/dien-thoai-samsung-galaxy-a17-5g.html,CellphoneS,Samsung Galaxy A17 5G 8GB 128GB,5.890.000đ,6.7 inches,Super AMOLED,1080 x 2340 pixels (FullHD+),Độ sáng tối đa 800 nits Kính cường lực Corning Gorilla Glass 7,,,"Chính 50 MP Phụ 5 MP, 2 MP",,,13 MP,Exynos 1330,,Có,,,8 GB,128 GB,Li-Ion 5000 mAh,,,Android 15,,,,,,,,,,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),8 nhân (2 nhân 2.4 GHz & 6 nhân 2.0 GHz),5890000.0,Samsung,httpscellphonescomvndien-thoai-samsung-galaxy-a17-5ghtml,cellphones,phone,235.6
https://cellphones.com.vn/mobile/dien-thoai-gaming.html,CellphoneS,Không tìm thấy,Không tìm thấy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpscellphonescomvnmobiledien-thoai-gaminghtml,cellphones,phone,
https://cellphones.com.vn/mobile/dien-thoai-pin-trau.html,CellphoneS,Không tìm thấy,Không tìm thấy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpscellphonescomvnmobiledien-thoai-pin-trauhtml,cellphones,phone,
https://cellphones.com.vn/bo-loc/dien-thoai-5g,CellphoneS,Không tìm thấy,Không tìm thấy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpscellphonescomvnbo-locdien-thoai-5g,cellphones,phone,
https://cellphones.com.vn/mobile/dien-thoai-chup-anh-quay-phim.html,CellphoneS,Không tìm thấy,Không tìm thấy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpscellphonescomvnmobiledien-thoai-chup-anh-quay-phimhtml,cellphones,phone,
